fund_code
022366
024415
026608
026768
159238
561000
561300
561990
562070
010157
022790
023192
024332
025418
026059
026774
159610
159678
560100
560950
561550
561950
563030
017505
159677
159679
159680
159685
560590
561280
561590
561780
025020
025308
026183
027160
027250
027285
027332
027594
027620
